OK ==> program: gc/cacheprof | flag: -fcase-merge
OK ==> program: gc/cacheprof | flag: -fcase-folding
OK ==> program: gc/cacheprof | flag: -fcall-arity
OK ==> program: gc/constraints | flag: -fcase-merge
OK ==> program: gc/constraints | flag: -fcase-folding
OK ==> program: gc/constraints | flag: -fcall-arity
ERROR ==> program: gc/fulsom | flag: -fcase-merge
ERROR ==> program: gc/fulsom | flag: -fcase-folding
ERROR ==> program: gc/fulsom | flag: -fcall-arity
OK ==> program: gc/gc_bench | flag: -fcase-merge
OK ==> program: gc/gc_bench | flag: -fcase-folding
OK ==> program: gc/gc_bench | flag: -fcall-arity
OK ==> program: gc/hash | flag: -fcase-merge
OK ==> program: gc/hash | flag: -fcase-folding
OK ==> program: gc/hash | flag: -fcall-arity
OK ==> program: gc/lcss | flag: -fcase-merge
OK ==> program: gc/lcss | flag: -fcase-folding
OK ==> program: gc/lcss | flag: -fcall-arity
ERROR ==> program: gc/mutstore1 | flag: -fcase-merge
ERROR ==> program: gc/mutstore1 | flag: -fcase-folding
ERROR ==> program: gc/mutstore1 | flag: -fcall-arity
ERROR ==> program: gc/mutstore2 | flag: -fcase-merge
ERROR ==> program: gc/mutstore2 | flag: -fcase-folding
ERROR ==> program: gc/mutstore2 | flag: -fcall-arity
OK ==> program: gc/power | flag: -fcase-merge
OK ==> program: gc/power | flag: -fcase-folding
OK ==> program: gc/power | flag: -fcall-arity
OK ==> program: gc/spellcheck | flag: -fcase-merge
OK ==> program: gc/spellcheck | flag: -fcase-folding
OK ==> program: gc/spellcheck | flag: -fcall-arity
OK ==> program: gc/treejoin | flag: -fcase-merge
OK ==> program: gc/treejoin | flag: -fcase-folding
OK ==> program: gc/treejoin | flag: -fcall-arity
OK ==> program: imaginary/bernouilli | flag: -fcase-merge
OK ==> program: imaginary/bernouilli | flag: -fcase-folding
OK ==> program: imaginary/bernouilli | flag: -fcall-arity
OK ==> program: imaginary/exp3_8 | flag: -fcase-merge
OK ==> program: imaginary/exp3_8 | flag: -fcase-folding
OK ==> program: imaginary/exp3_8 | flag: -fcall-arity
OK ==> program: imaginary/gen_regexps | flag: -fcase-merge
OK ==> program: imaginary/gen_regexps | flag: -fcase-folding
OK ==> program: imaginary/gen_regexps | flag: -fcall-arity
OK ==> program: imaginary/integrate | flag: -fcase-merge
OK ==> program: imaginary/integrate | flag: -fcase-folding
OK ==> program: imaginary/integrate | flag: -fcall-arity
OK ==> program: imaginary/kahan | flag: -fcase-merge
OK ==> program: imaginary/kahan | flag: -fcase-folding
OK ==> program: imaginary/kahan | flag: -fcall-arity
OK ==> program: imaginary/paraffins | flag: -fcase-merge
OK ==> program: imaginary/paraffins | flag: -fcase-folding
OK ==> program: imaginary/paraffins | flag: -fcall-arity
OK ==> program: imaginary/primes | flag: -fcase-merge
OK ==> program: imaginary/primes | flag: -fcase-folding
OK ==> program: imaginary/primes | flag: -fcall-arity
OK ==> program: imaginary/queens | flag: -fcase-merge
OK ==> program: imaginary/queens | flag: -fcase-folding
OK ==> program: imaginary/queens | flag: -fcall-arity
OK ==> program: imaginary/rfib | flag: -fcase-merge
OK ==> program: imaginary/rfib | flag: -fcase-folding
OK ==> program: imaginary/rfib | flag: -fcall-arity
OK ==> program: imaginary/tak | flag: -fcase-merge
OK ==> program: imaginary/tak | flag: -fcase-folding
OK ==> program: imaginary/tak | flag: -fcall-arity
OK ==> program: imaginary/wheel-sieve1 | flag: -fcase-merge
OK ==> program: imaginary/wheel-sieve1 | flag: -fcase-folding
OK ==> program: imaginary/wheel-sieve1 | flag: -fcall-arity
OK ==> program: imaginary/wheel-sieve2 | flag: -fcase-merge
OK ==> program: imaginary/wheel-sieve2 | flag: -fcase-folding
OK ==> program: imaginary/wheel-sieve2 | flag: -fcall-arity
OK ==> program: imaginary/x2n1 | flag: -fcase-merge
OK ==> program: imaginary/x2n1 | flag: -fcase-folding
OK ==> program: imaginary/x2n1 | flag: -fcall-arity
