OK ==> program: parallel/blackscholes | flag: -O0
OK ==> program: parallel/blackscholes | flag: -fcase-merge
ERROR ==> program: parallel/cfd | flag: -O0
ERROR ==> program: parallel/cfd | flag: -fcase-merge
OK ==> program: parallel/coins | flag: -O0
OK ==> program: parallel/coins | flag: -fcase-merge
ERROR ==> program: parallel/dcbm | flag: -O0
ERROR ==> program: parallel/dcbm | flag: -fcase-merge
ERROR ==> program: parallel/gray | flag: -O0
ERROR ==> program: parallel/gray | flag: -fcase-merge
ERROR ==> program: parallel/linsolv | flag: -O0
ERROR ==> program: parallel/linsolv | flag: -fcase-merge
OK ==> program: parallel/matmult | flag: -O0
OK ==> program: parallel/matmult | flag: -fcase-merge
ERROR ==> program: parallel/minimax | flag: -O0
ERROR ==> program: parallel/minimax | flag: -fcase-merge
OK ==> program: parallel/nbody | flag: -O0
OK ==> program: parallel/nbody | flag: -fcase-merge
ERROR ==> program: parallel/OLD/par001 | flag: -O0
ERROR ==> program: parallel/OLD/par001 | flag: -fcase-merge
ERROR ==> program: parallel/OLD/parfact | flag: -O0
ERROR ==> program: parallel/OLD/parfact | flag: -fcase-merge
ERROR ==> program: parallel/OLD/soda | flag: -O0
ERROR ==> program: parallel/OLD/soda | flag: -fcase-merge
ERROR ==> program: parallel/OLD/soda7 | flag: -O0
ERROR ==> program: parallel/OLD/soda7 | flag: -fcase-merge
OK ==> program: parallel/parfib | flag: -O0
OK ==> program: parallel/parfib | flag: -fcase-merge
OK ==> program: parallel/partak | flag: -O0
OK ==> program: parallel/partak | flag: -fcase-merge
OK ==> program: parallel/partree | flag: -O0
OK ==> program: parallel/partree | flag: -fcase-merge
ERROR ==> program: parallel/prsa | flag: -O0
ERROR ==> program: parallel/prsa | flag: -fcase-merge
OK ==> program: parallel/queens | flag: -O0
OK ==> program: parallel/queens | flag: -fcase-merge
ERROR ==> program: parallel/sumeuler | flag: -O0
ERROR ==> program: parallel/sumeuler | flag: -fcase-merge
ERROR ==> program: parallel/transclos | flag: -O0
ERROR ==> program: parallel/transclos | flag: -fcase-merge
ERROR ==> program: parallel/warshall | flag: -O0
ERROR ==> program: parallel/warshall | flag: -fcase-merge
OK ==> program: real/anna | flag: -O0
OK ==> program: real/anna | flag: -fcase-merge
OK ==> program: real/ben-raytrace | flag: -O0
OK ==> program: real/ben-raytrace | flag: -fcase-merge
OK ==> program: real/cacheprof | flag: -O0
OK ==> program: real/cacheprof | flag: -fcase-merge
ERROR ==> program: real/compress | flag: -O0
ERROR ==> program: real/compress | flag: -fcase-merge
OK ==> program: real/compress2 | flag: -O0
OK ==> program: real/compress2 | flag: -fcase-merge
OK ==> program: real/eff/CS | flag: -O0
OK ==> program: real/eff/CS | flag: -fcase-merge
OK ==> program: real/eff/CSD | flag: -O0
