TEMPS ==> CPU1: 42.200000 CPU2: 42.500000
TEMPS ==> CURR: 43.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 44.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 41.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
COOLDOWN ==> 60 seconds
TEMPS ==> CURR: 41.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 44.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
COOLDOWN ==> 35 seconds
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 44.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 41.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
COOLDOWN ==> 60 seconds
TEMPS ==> CURR: 43.000000 44.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 43.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
COOLDOWN ==> 60 seconds
TEMPS ==> CURR: 42.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 41.000000 43.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
TEMPS ==> CURR: 42.000000 42.000000 | BASE: 42.200000 42.500000
