timestamp                ,program      ,flag                                                                           ,execution time (ms) ,pkg1 energy (J) ,pp0      ,pp1      ,dram      ,psys     ,pk2 energy ,pp0      ,pp1      ,dram      ,psys
Tue Apr 26 15:03:46 2022 ,blackscholes ,-O0                                                                            ,2338.094000         ,43.819214       ,0.000000 ,0.000000 ,6.936661  ,0        ,54.238342  ,0.000000 ,0.000000 ,9.112869  ,0
Tue Apr 26 15:03:48 2022 ,blackscholes ,-O0                                                                            ,2340.029000         ,43.912720       ,0.000000 ,0.000000 ,6.977783  ,0        ,54.299438  ,0.000000 ,0.000000 ,9.169083  ,0
Tue Apr 26 15:12:36 2022 ,blackscholes ,-O0 -fcase-merge                                                               ,2338.628000         ,43.872803       ,0.000000 ,0.000000 ,7.040573  ,0        ,55.084290  ,0.000000 ,0.000000 ,9.176636  ,0
Tue Apr 26 15:12:38 2022 ,blackscholes ,-O0 -fcase-merge                                                               ,2343.267000         ,43.996765       ,0.000000 ,0.000000 ,6.898727  ,0        ,53.982849  ,0.000000 ,0.000000 ,9.030853  ,0
Tue Apr 26 16:13:31 2022 ,sieve        ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,3553.820000         ,79.354248       ,0.000000 ,0.000000 ,14.150360 ,0        ,95.647278  ,0.000000 ,0.000000 ,16.32188  ,0
Tue Apr 26 16:13:38 2022 ,sieve        ,-O0                                                                            ,3033.863000         ,69.602417       ,0.000000 ,0.000000 ,12.175598 ,0        ,79.237305  ,0.000000 ,0.000000 ,13.86886  ,0
Wed Apr 27 14:24:07 2022 ,sieve        ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,9326.701000         ,175.427124      ,0.000000 ,0.000000 ,27.896866 ,0.000000 ,221.223755 ,0.000000 ,0.000000 ,41.789658 ,0.000000
Wed Apr 27 14:23:57 2022 ,sieve        ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,9297.374000         ,174.588684      ,0.000000 ,0.000000 ,27.528900 ,0.000000 ,224.318298 ,0.000000 ,0.000000 ,41.263168 ,0.000000
Tue Apr 26 16:22:39 2022 ,sieve        ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d -fcase-merge ,9323.654000         ,176.647888      ,0.000000 ,0.000000 ,27.909195 ,0        ,229.257812 ,0.000000 ,0.000000 ,41.49510  ,0
Tue Apr 26 16:22:48 2022 ,sieve        ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d -fcase-merge ,9302.394000         ,176.148315      ,0.000000 ,0.000000 ,27.876999 ,0        ,222.158203 ,0.000000 ,0.000000 ,41.65391  ,0
Tue Apr 26 16:27:33 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21546.000000        ,405.915222      ,0.000000 ,0.000000 ,63.510437 ,0        ,508.547241 ,0.000000 ,0.000000 ,78.51298  ,0
Tue Apr 26 16:27:55 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21475.887000        ,404.942932      ,0.000000 ,0.000000 ,63.240524 ,0        ,508.206238 ,0.000000 ,0.000000 ,78.23321  ,0
Tue Apr 26 16:32:07 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21290.288000        ,400.935059      ,0.000000 ,0.000000 ,62.698746 ,0.000000 ,510.915344 ,0.000000 ,0.000000 ,77.795883 ,0.000000
Tue Apr 26 16:32:28 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21357.996000        ,402.556580      ,0.000000 ,0.000000 ,62.751007 ,0.000000 ,512.398315 ,0.000000 ,0.000000 ,77.795624 ,0.000000
Tue Apr 26 16:37:10 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21594.240000        ,406.458557      ,0.000000 ,0.000000 ,63.351501 ,0.000000 ,521.106567 ,0.000000 ,0.000000 ,78.066757 ,0.000000
Tue Apr 26 16:37:32 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21852.285000        ,411.953613      ,0.000000 ,0.000000 ,64.112579 ,0.000000 ,517.301758 ,0.000000 ,0.000000 ,78.855988 ,0.000000
Tue Apr 26 16:50:34 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21494.860000        ,404.988403      ,0.000000 ,0.000000 ,63.321640 ,0.000000 ,521.891052 ,0.000000 ,0.000000 ,78.611511 ,0.000000
Tue Apr 26 16:50:56 2022 ,blackscholes ,-O0 -package-db /home/rapi/.ghc/x86_64-linux-8.6.5/package.conf.d              ,21611.458000        ,407.337585      ,0.000000 ,0.000000 ,63.519608 ,0.000000 ,519.966553 ,0.000000 ,0.000000 ,78.768646 ,0.000000
