timestamp,program,flag,execution_time,pkg_energy,pp0,pp1,dram,psys
Wed Jun  1 16:38:26 2022,callback001,-O0,544.335000,9.910400,5.871216,0.000000,0.889404,0.000000
Wed Jun  1 16:38:33 2022,callback001,-O0,543.705000,9.851501,5.850281,0.000000,0.888489,0.000000
Wed Jun  1 16:38:40 2022,callback001,-O0,545.536000,10.035706,5.948242,0.000000,0.892700,0.000000
Wed Jun  1 16:38:46 2022,callback001,-O0,544.147000,9.857910,5.848389,0.000000,0.889099,0.000000
Wed Jun  1 16:38:57 2022,callback001,-O0,549.970000,10.038269,5.970520,0.000000,0.907288,0.000000
Wed Jun  1 16:39:03 2022,callback001,-O0,544.880000,9.852173,5.859375,0.000000,0.890076,0.000000
Wed Jun  1 16:39:10 2022,callback001,-O0,546.496000,9.998047,5.933350,0.000000,0.895325,0.000000
Wed Jun  1 16:39:17 2022,callback001,-O0,553.843000,9.996399,5.922058,0.000000,0.907471,0.000000
Wed Jun  1 16:39:23 2022,callback001,-O0,547.500000,9.961426,5.899841,0.000000,0.895447,0.000000
Wed Jun  1 16:39:30 2022,callback001,-O0,547.935000,9.938843,5.898804,0.000000,0.897339,0.000000
Wed Jun  1 16:39:40 2022,callback001,-O0,546.340000,9.994995,5.945984,0.000000,0.897400,0.000000
Wed Jun  1 16:39:47 2022,callback001,-O0,548.077000,9.948242,5.906067,0.000000,0.897217,0.000000
Wed Jun  1 16:39:54 2022,callback001,-O0,547.623000,9.955139,5.923218,0.000000,0.898865,0.000000
Wed Jun  1 16:40:06 2022,callback001,-O0,547.589000,10.001038,5.930115,0.000000,0.897339,0.000000
Wed Jun  1 16:40:17 2022,callback001,-O0,568.933000,10.277283,6.079285,0.000000,0.934021,0.000000
Wed Jun  1 16:40:30 2022,callback001,-O0,556.005000,10.174561,6.029358,0.000000,0.910889,0.000000
Wed Jun  1 16:40:36 2022,callback001,-O0,552.929000,10.059631,5.971558,0.000000,0.906250,0.000000
Wed Jun  1 16:40:49 2022,callback001,-O0,545.728000,10.063293,5.992981,0.000000,0.894897,0.000000
Wed Jun  1 16:40:55 2022,callback001,-O0,549.653000,9.963318,5.921326,0.000000,0.902710,0.000000
Wed Jun  1 16:41:02 2022,callback001,-O0,544.587000,9.891541,5.883179,0.000000,0.892334,0.000000
Wed Jun  1 16:41:09 2022,callback001,-O0,562.746000,10.143127,5.989380,0.000000,0.922241,0.000000
Wed Jun  1 16:41:17 2022,callback001,-O0,546.768000,10.031860,5.953247,0.000000,0.896179,0.000000
Wed Jun  1 16:41:26 2022,callback001,-O0,549.302000,9.987244,5.911743,0.000000,0.899719,0.000000
Wed Jun  1 16:41:32 2022,callback001,-O0,547.923000,9.989502,5.933594,0.000000,0.898376,0.000000
Wed Jun  1 16:41:39 2022,callback001,-O0,548.181000,9.965698,5.914307,0.000000,0.897400,0.000000
Wed Jun  1 16:41:46 2022,callback001,-O0,562.253000,10.312500,6.103333,0.000000,0.921631,0.000000
Wed Jun  1 16:41:58 2022,callback001,-O0,546.745000,10.065796,6.019409,0.000000,0.899963,0.000000
Wed Jun  1 16:42:05 2022,callback001,-O0,548.519000,10.039490,5.949219,0.000000,0.899475,0.000000
Wed Jun  1 16:42:12 2022,callback001,-O0,553.874000,10.178955,6.045593,0.000000,0.906860,0.000000
Wed Jun  1 16:42:24 2022,callback001,-O0,549.577000,9.983521,5.933167,0.000000,0.900513,0.000000
Wed Jun  1 16:42:33 2022,callback001,-O0,546.519000,9.945923,5.906189,0.000000,0.894287,0.000000
Wed Jun  1 16:42:39 2022,callback001,-O0,547.422000,9.906982,5.881714,0.000000,0.896790,0.000000
Wed Jun  1 16:42:48 2022,callback001,-O0,564.627000,10.221497,6.049988,0.000000,0.922241,0.000000
Wed Jun  1 16:42:57 2022,callback001,-O0,564.176000,10.205811,6.034485,0.000000,0.921814,0.000000
Wed Jun  1 16:43:03 2022,callback001,-O0,547.757000,9.857910,5.842529,0.000000,0.895264,0.000000
Wed Jun  1 16:43:10 2022,callback001,-O0,555.786000,10.109680,5.988342,0.000000,0.909729,0.000000
Wed Jun  1 16:43:16 2022,callback001,-O0,555.280000,10.179688,6.048950,0.000000,0.908997,0.000000
Wed Jun  1 16:43:23 2022,callback001,-O0,545.919000,10.062195,5.972717,0.000000,0.892029,0.000000
Wed Jun  1 16:43:36 2022,callback001,-O0,549.604000,10.067383,5.979980,0.000000,0.902161,0.000000
Wed Jun  1 16:43:42 2022,callback001,-O0,545.928000,9.920288,5.902344,0.000000,0.893921,0.000000
Wed Jun  1 16:43:49 2022,callback001,-O0,547.229000,9.989868,5.942810,0.000000,0.897461,0.000000
Wed Jun  1 16:43:57 2022,callback001,-O0,547.560000,10.028381,5.960754,0.000000,0.898376,0.000000
Wed Jun  1 16:44:04 2022,callback001,-O0,548.640000,10.182068,6.052856,0.000000,0.898560,0.000000
Wed Jun  1 16:44:13 2022,callback001,-O0,546.675000,10.088074,6.024963,0.000000,0.899414,0.000000
Wed Jun  1 16:44:21 2022,callback001,-O0,550.706000,10.114807,5.999573,0.000000,0.903992,0.000000
Wed Jun  1 16:44:28 2022,callback001,-O0,549.413000,10.112671,6.052673,0.000000,0.904175,0.000000
Wed Jun  1 16:44:37 2022,callback001,-O0,545.575000,9.980286,5.927917,0.000000,0.894531,0.000000
Wed Jun  1 16:44:45 2022,callback001,-O0,545.930000,10.004028,5.955566,0.000000,0.894592,0.000000
Wed Jun  1 16:44:52 2022,callback001,-O0,548.971000,10.023438,5.954224,0.000000,0.901184,0.000000
Wed Jun  1 16:45:00 2022,callback001,-O0,547.732000,9.982056,5.925476,0.000000,0.897705,0.000000
Wed Jun  1 16:45:07 2022,callback001,-O0,555.068000,10.111328,5.990356,0.000000,0.905823,0.000000
Wed Jun  1 16:45:14 2022,callback001,-O0,546.228000,10.086243,6.054199,0.000000,0.896667,0.000000
Wed Jun  1 16:45:24 2022,callback001,-O0,547.148000,9.963501,5.914429,0.000000,0.896729,0.000000
Wed Jun  1 16:45:31 2022,callback001,-O0,547.688000,9.929321,5.901672,0.000000,0.896545,0.000000
Wed Jun  1 16:45:39 2022,callback001,-O0,545.624000,9.932495,5.909546,0.000000,0.894348,0.000000
