timestamp,program,flag,execution_time,pkg_energy,pp0,pp1,dram,psys
Fri Jun  3 17:13:21 2022,cacheprof,-fspecialise,289.343000,9.338074,7.385498,0.000000,0.414856,0.000000
Fri Jun  3 17:13:35 2022,cacheprof,-fspecialise,390.581000,12.999207,10.377869,0.000000,0.555603,0.000000
Fri Jun  3 17:14:16 2022,cacheprof,-fspecialise,357.062000,11.502869,9.129700,0.000000,0.508240,0.000000
Fri Jun  3 17:14:59 2022,cacheprof,-fspecialise,348.645000,11.377136,9.056274,0.000000,0.497681,0.000000
Fri Jun  3 17:15:11 2022,cacheprof,-fspecialise,287.411000,9.118713,7.190857,0.000000,0.412292,0.000000
Fri Jun  3 17:15:27 2022,cacheprof,-fspecialise,275.866000,8.741272,6.895569,0.000000,0.395325,0.000000
Fri Jun  3 17:15:58 2022,cacheprof,-fspecialise,304.923000,9.741699,7.689514,0.000000,0.437622,0.000000
Fri Jun  3 17:16:16 2022,cacheprof,-fspecialise,342.435000,11.188721,8.900513,0.000000,0.491272,0.000000
Fri Jun  3 17:16:31 2022,cacheprof,-fspecialise,354.784000,11.524719,9.158081,0.000000,0.506653,0.000000
Fri Jun  3 17:16:53 2022,cacheprof,-fspecialise,283.857000,8.995911,7.095215,0.000000,0.406189,0.000000
Fri Jun  3 17:17:46 2022,cacheprof,-fcross-module-specialise,266.204000,8.454163,6.668213,0.000000,0.383362,0.000000
Fri Jun  3 17:18:13 2022,cacheprof,-fcross-module-specialise,304.923000,9.920837,7.877502,0.000000,0.437317,0.000000
Fri Jun  3 17:18:51 2022,cacheprof,-fcross-module-specialise,279.214000,8.999329,7.120483,0.000000,0.400757,0.000000
Fri Jun  3 17:19:04 2022,cacheprof,-fcross-module-specialise,261.971000,8.325623,6.577148,0.000000,0.376282,0.000000
Fri Jun  3 17:19:24 2022,cacheprof,-fcross-module-specialise,285.640000,9.104309,7.204712,0.000000,0.409180,0.000000
Fri Jun  3 17:19:36 2022,cacheprof,-fcross-module-specialise,278.437000,8.965515,7.113831,0.000000,0.398682,0.000000
Fri Jun  3 17:19:51 2022,cacheprof,-fcross-module-specialise,264.997000,8.351501,6.596375,0.000000,0.380859,0.000000
Fri Jun  3 17:20:13 2022,cacheprof,-fcross-module-specialise,291.841000,9.406372,7.463074,0.000000,0.418396,0.000000
Fri Jun  3 17:21:02 2022,cacheprof,-fcross-module-specialise,296.403000,9.381592,7.395264,0.000000,0.424866,0.000000
Fri Jun  3 17:21:20 2022,cacheprof,-fcross-module-specialise,304.996000,9.640564,7.600647,0.000000,0.435730,0.000000
Fri Jun  3 17:22:17 2022,cacheprof,-fsolve-constant-dicts,311.546000,10.002930,7.911560,0.000000,0.444214,0.000000
Fri Jun  3 17:22:42 2022,cacheprof,-fsolve-constant-dicts,307.761000,9.915955,7.864380,0.000000,0.440430,0.000000
Fri Jun  3 17:22:50 2022,cacheprof,-fsolve-constant-dicts,293.897000,9.517517,7.547852,0.000000,0.420044,0.000000
Fri Jun  3 17:23:14 2022,cacheprof,-fsolve-constant-dicts,263.101000,8.489136,6.706787,0.000000,0.379395,0.000000
Fri Jun  3 17:23:35 2022,cacheprof,-fsolve-constant-dicts,300.413000,9.817566,7.804199,0.000000,0.429932,0.000000
Fri Jun  3 17:23:55 2022,cacheprof,-fsolve-constant-dicts,266.930000,8.522949,6.753296,0.000000,0.382568,0.000000
Fri Jun  3 17:24:54 2022,cacheprof,-fsolve-constant-dicts,280.103000,8.771057,6.877502,0.000000,0.402100,0.000000
Fri Jun  3 17:25:20 2022,cacheprof,-fsolve-constant-dicts,297.448000,9.515869,7.505371,0.000000,0.426758,0.000000
Fri Jun  3 17:25:33 2022,cacheprof,-fsolve-constant-dicts,292.200000,9.388184,7.436157,0.000000,0.417419,0.000000
Fri Jun  3 17:25:47 2022,cacheprof,-fsolve-constant-dicts,286.600000,9.159302,7.230774,0.000000,0.411072,0.000000
Fri Jun  3 17:26:42 2022,cacheprof,-fstrictness,297.570000,9.466675,7.485718,0.000000,0.426270,0.000000
Fri Jun  3 17:27:17 2022,cacheprof,-fstrictness,309.367000,10.203125,8.120178,0.000000,0.441833,0.000000
Fri Jun  3 17:27:37 2022,cacheprof,-fstrictness,285.133000,9.158020,7.232361,0.000000,0.409973,0.000000
Fri Jun  3 17:27:45 2022,cacheprof,-fstrictness,353.120000,11.614685,9.260925,0.000000,0.502747,0.000000
Fri Jun  3 17:29:20 2022,cacheprof,-fstrictness,305.883000,9.814575,7.750305,0.000000,0.438538,0.000000
Fri Jun  3 17:29:39 2022,cacheprof,-fstrictness,345.106000,11.412231,9.103455,0.000000,0.491333,0.000000
Fri Jun  3 17:29:59 2022,cacheprof,-fstrictness,302.160000,9.746765,7.718201,0.000000,0.432739,0.000000
Fri Jun  3 17:31:46 2022,cacheprof,-fstrictness,287.036000,9.149597,7.224182,0.000000,0.411682,0.000000
Fri Jun  3 17:32:07 2022,cacheprof,-fstrictness,251.614000,8.103882,6.397888,0.000000,0.362183,0.000000
Fri Jun  3 17:32:31 2022,cacheprof,-fstrictness,301.744000,9.835388,7.797485,0.000000,0.431091,0.000000
Fri Jun  3 17:33:02 2022,cacheprof,-funbox-small-strict-fields,297.026000,9.561279,7.559326,0.000000,0.425232,0.000000
Fri Jun  3 17:34:47 2022,cacheprof,-funbox-small-strict-fields,278.676000,8.824341,6.948120,0.000000,0.399414,0.000000
Fri Jun  3 17:34:55 2022,cacheprof,-funbox-small-strict-fields,319.981000,10.485535,8.354675,0.000000,0.456177,0.000000
Fri Jun  3 17:35:05 2022,cacheprof,-funbox-small-strict-fields,297.302000,9.537842,7.538879,0.000000,0.424316,0.000000
Fri Jun  3 17:35:28 2022,cacheprof,-funbox-small-strict-fields,299.366000,9.543030,7.539795,0.000000,0.429321,0.000000
Fri Jun  3 17:36:02 2022,cacheprof,-funbox-small-strict-fields,353.969000,11.604553,9.252441,0.000000,0.504272,0.000000
Fri Jun  3 17:36:43 2022,cacheprof,-funbox-small-strict-fields,304.720000,9.607056,7.556702,0.000000,0.436646,0.000000
Fri Jun  3 17:37:14 2022,cacheprof,-funbox-small-strict-fields,302.091000,9.687256,7.665100,0.000000,0.431152,0.000000
Fri Jun  3 17:38:04 2022,cacheprof,-funbox-small-strict-fields,269.004000,8.614563,6.823364,0.000000,0.385620,0.000000
Fri Jun  3 17:38:57 2022,cacheprof,-funbox-small-strict-fields,289.322000,9.301270,7.357361,0.000000,0.416626,0.000000
Fri Jun  3 17:40:45 2022,constraints,-fspecialise,3242.283000,59.630981,35.765442,0.000000,4.522156,0.000000
Fri Jun  3 17:41:51 2022,constraints,-fspecialise,3258.426000,60.009644,35.945251,0.000000,4.553345,0.000000
Fri Jun  3 17:44:13 2022,constraints,-fspecialise,3239.530000,59.511780,35.698181,0.000000,4.529724,0.000000
Fri Jun  3 17:46:11 2022,constraints,-fspecialise,3244.527000,59.829163,35.889038,0.000000,4.527222,0.000000
Fri Jun  3 17:48:20 2022,constraints,-fspecialise,3257.598000,59.653992,35.702148,0.000000,4.553040,0.000000
Fri Jun  3 17:50:09 2022,constraints,-fspecialise,3241.703000,59.432007,35.645203,0.000000,4.518921,0.000000
Fri Jun  3 17:52:07 2022,constraints,-fspecialise,3256.179000,59.373657,35.544922,0.000000,4.546326,0.000000
Fri Jun  3 17:53:57 2022,constraints,-fspecialise,3233.911000,58.958862,35.407104,0.000000,4.520874,0.000000
Fri Jun  3 18:03:55 2022,constraints,-fspecialise,3240.926000,59.266296,35.555176,0.000000,4.536926,0.000000
Fri Jun  3 18:06:46 2022,constraints,-fspecialise,3242.836000,59.895203,35.940430,0.000000,4.530090,0.000000
Fri Jun  3 18:12:36 2022,constraints,-fcross-module-specialise,3249.895000,59.746582,35.839355,0.000000,4.541687,0.000000
Fri Jun  3 18:14:07 2022,constraints,-fcross-module-specialise,3246.634000,59.913879,35.892395,0.000000,4.530029,0.000000
Fri Jun  3 18:17:58 2022,constraints,-fcross-module-specialise,3245.149000,59.435425,35.643494,0.000000,4.533020,0.000000
Fri Jun  3 18:21:29 2022,constraints,-fcross-module-specialise,3249.330000,60.438599,36.642700,0.000000,4.543274,0.000000
Fri Jun  3 18:24:01 2022,constraints,-fcross-module-specialise,3255.189000,59.058044,35.331970,0.000000,4.539856,0.000000
Fri Jun  3 18:28:08 2022,constraints,-fcross-module-specialise,3242.955000,59.780334,35.805786,0.000000,4.526428,0.000000
Fri Jun  3 18:30:37 2022,constraints,-fcross-module-specialise,3244.340000,59.984131,35.942078,0.000000,4.541992,0.000000
Fri Jun  3 18:31:28 2022,constraints,-fcross-module-specialise,3247.424000,60.280151,36.534424,0.000793,4.545776,0.000000
Fri Jun  3 18:34:18 2022,constraints,-fcross-module-specialise,3251.046000,59.715637,35.821716,0.000916,4.545166,0.000000
Fri Jun  3 18:37:49 2022,constraints,-fcross-module-specialise,3236.123000,59.293579,35.576904,0.000000,4.517639,0.000000
