timestamp,program,flag,execution_time,pkg_energy,pp0,pp1,dram,psys
Tue May 31 15:57:09 2022,cacheprof,-O0,602.994000,9.954102,6.862793,0.000000,0.900879,0.000000
Tue May 31 15:57:22 2022,cacheprof,-O0,678.285000,9.569214,6.632080,0.000000,1.045288,0.000000
Tue May 31 15:57:32 2022,cacheprof,-O0,735.109000,10.291138,6.833740,0.000000,1.119629,0.000000
Tue May 31 15:57:39 2022,cacheprof,-O0,770.342000,10.117371,6.798462,0.000000,1.208862,0.000000
Tue May 31 15:57:46 2022,cacheprof,-O0,623.275000,10.693420,7.379700,0.000000,0.930664,0.000000
Tue May 31 15:58:07 2022,cacheprof,-O0,854.680000,10.031311,6.622986,0.000000,1.355713,0.000000
Tue May 31 15:58:16 2022,cacheprof,-O0,680.634000,11.243713,7.984314,0.000000,1.024231,0.000000
Tue May 31 15:58:22 2022,cacheprof,-O0,573.526000,9.300415,6.323425,0.000000,0.856628,0.000000
Tue May 31 15:58:39 2022,cacheprof,-O0,775.854000,9.213562,5.780579,0.000000,1.184021,0.000000
Tue May 31 15:58:46 2022,cacheprof,-O0,778.076000,10.823364,7.080933,0.000000,1.176453,0.000000
Tue May 31 15:58:59 2022,cacheprof,-fcase-merge,640.360000,9.625610,6.548096,0.000000,0.972351,0.000000
Tue May 31 15:59:06 2022,cacheprof,-fcase-merge,647.208000,10.103760,6.992615,0.000000,0.987732,0.000000
Tue May 31 15:59:16 2022,cacheprof,-fcase-merge,586.857000,9.616577,6.692810,0.000000,0.896484,0.000000
Tue May 31 15:59:33 2022,cacheprof,-fcase-merge,704.398000,9.354187,6.226013,0.000000,1.076965,0.000000
Tue May 31 15:59:40 2022,cacheprof,-fcase-merge,656.299000,10.245483,7.062012,0.000000,0.985596,0.000000
Tue May 31 15:59:47 2022,cacheprof,-fcase-merge,781.846000,9.640503,6.544250,0.000000,1.216431,0.000000
Tue May 31 15:59:55 2022,cacheprof,-fcase-merge,590.319000,9.523743,6.560486,0.000000,0.880066,0.000000
Tue May 31 16:00:04 2022,cacheprof,-fcase-merge,649.725000,9.396729,6.411255,0.000732,0.990173,0.000000
Tue May 31 16:00:11 2022,cacheprof,-fcase-merge,571.507000,9.786316,6.979797,0.000000,0.864929,0.000000
Tue May 31 16:00:21 2022,cacheprof,-fcase-merge,620.183000,10.234314,7.215576,0.000000,0.936768,0.000000
Tue May 31 16:00:47 2022,cacheprof,-fcase-folding,675.038000,9.726257,6.703613,0.000000,1.039429,0.000000
Tue May 31 16:00:57 2022,cacheprof,-fcase-folding,714.040000,9.673889,6.519470,0.000000,1.087585,0.000000
Tue May 31 16:01:08 2022,cacheprof,-fcase-folding,655.376000,9.771667,6.856262,0.000000,1.008972,0.000000
Tue May 31 16:01:23 2022,cacheprof,-fcase-folding,593.449000,9.324890,6.509949,0.000000,0.899353,0.000000
Tue May 31 16:01:36 2022,cacheprof,-fcase-folding,650.957000,11.080200,7.794861,0.000000,0.971924,0.000000
Tue May 31 16:01:44 2022,cacheprof,-fcase-folding,768.521000,10.026855,6.692688,0.000000,1.187866,0.000000
Tue May 31 16:01:53 2022,cacheprof,-fcase-folding,608.124000,9.410645,6.515076,0.000000,0.930481,0.000000
Tue May 31 16:02:06 2022,cacheprof,-fcase-folding,634.251000,9.916016,6.978455,0.000000,0.970642,0.000000
Tue May 31 16:02:16 2022,cacheprof,-fcase-folding,614.871000,10.691467,7.563904,0.000000,0.920776,0.000000
Tue May 31 16:02:23 2022,cacheprof,-fcase-folding,564.713000,9.257935,6.241882,0.000000,0.837463,0.000000
Tue May 31 16:03:01 2022,cacheprof,-fcall-arity,916.615000,9.872681,6.355347,0.000000,1.434814,0.000000
Tue May 31 16:03:07 2022,cacheprof,-fcall-arity,682.059000,9.440979,6.184692,0.000000,1.031921,0.000000
Tue May 31 16:03:14 2022,cacheprof,-fcall-arity,830.249000,10.162903,6.641357,0.000000,1.280823,0.000000
Tue May 31 16:03:23 2022,cacheprof,-fcall-arity,599.098000,9.291016,6.045654,0.000000,0.884460,0.000000
Tue May 31 16:03:36 2022,cacheprof,-fcall-arity,745.417000,10.799133,7.511963,0.000000,1.148865,0.000000
Tue May 31 16:03:46 2022,cacheprof,-fcall-arity,703.669000,10.313782,6.943604,0.000000,1.065735,0.000000
Tue May 31 16:03:57 2022,cacheprof,-fcall-arity,738.408000,9.572266,6.368958,0.000000,1.137329,0.000000
Tue May 31 16:04:04 2022,cacheprof,-fcall-arity,720.767000,10.444153,7.128235,0.000000,1.099304,0.000000
Tue May 31 16:04:11 2022,cacheprof,-fcall-arity,662.157000,10.583374,7.238708,0.000000,0.988831,0.000000
Tue May 31 16:04:38 2022,cacheprof,-fcall-arity,584.968000,9.924255,7.170532,0.000000,0.895081,0.000000
Tue May 31 16:05:00 2022,constraints,-O0,3255.159000,59.558716,35.877502,0.000000,4.559753,0.000000
